full_name,a,e,G,i,om,w,q,ad,per_y,data_arc,condition_code,n_obs_used,H,diameter,extent,albedo,rot_per,GM,BV,UB,IR,spec_B,spec_T,neo,pha,moid
    11 Parthenope,2.453109376,0.100472272,,4.629885838,125.5465868,195.5503938,2.206639904,2.699578848,3.842231878,61699,0,5475,6.55,142.887,,0.191,13.7204,,0.837,0.417,,Sk,S,N,N,1.19322
    12 Victoria,2.334315086,0.220171581,0.22,8.373074237,235.4101683,69.64182011,1.820365243,2.84826493,3.566542615,61581,0,3051,7.24,115.087,,0.163,8.6599,,0.874,0.515,,L,S,N,N,0.824953
    13 Egeria,2.575981091,0.085121415,,16.53612295,43.22191706,80.54483096,2.356709935,2.795252248,4.1344925,61531,0,2359,6.74,222.792,,0.07,7.045,,0.745,0.452,,Ch,G,N,N,1.43633
    14 Irene,2.585567305,0.16658231,,9.121643599,86.12266133,97.85899133,2.15485753,3.016277081,4.157593008,61450,0,2688,6.3,152,,0.159,15.028,,0.833,0.388,,S,S,N,N,1.17966
    15 Eunomia,2.644100304,0.186084362,0.23,11.75242982,292.9343387,98.49868084,2.152074586,3.136126023,4.299570669,61247,0,2501,5.28,231.689,,0.248,6.083,,0.839,0.451,,S,S,N,N,1.19485
    16 Psyche,2.92381368,0.133568415,0.2,3.096005209,150.0456664,228.8230714,2.533284522,3.314342839,4.999571031,12856,0,2364,5.9,226 ,279 x 232 x 189,0.1203,4.196,1.53,0.729,0.299,,X,M,N,N,1.5358
    17 Thetis,2.470354085,0.133031598,,5.591204766,125.5529437,136.2082517,2.141718935,2.798989236,3.882817805,61117,0,3650,7.76,84.899,,0.193,12.27048,,0.829,0.438,,Sl,S,N,N,1.12981
    18 Melpomene,2.29665351,0.217674362,0.25,10.1287313,150.3838618,227.9508469,1.796730922,2.796576098,3.480578404,60906,0,5082,6.51,139.594,,0.181,11.57,,0.854,0.425,,S,S,N,N,0.813258
    19 Fortuna,2.442710697,0.158046851,0.1,1.573782207,211.1440435,182.0650176,2.056647963,2.828773431,3.817827076,60970,0,3316,7.13,200,,0.037,7.4432,,0.719,0.324,,Ch,G,N,N,1.06213
    20 Massalia,2.409781792,0.142066705,0.25,0.708751203,206.1089109,256.7731964,2.067432032,2.752131551,3.740888639,59461,0,2481,6.5,135.68,,0.241,8.098,,0.854,0.463,,S,S,N,N,1.08461
    21 Lutetia,2.434958098,0.163356103,0.11,3.064054861,80.86581221,249.9169213,2.037192832,2.832723363,3.799666154,55915,0,4752,7.35,95.76,,0.2212,8.1655,,0.686,0.189,,Xk,M,N,N,1.02791
    22 Kalliope,2.914849074,0.097676889,0.21,13.71531205,66.05276971,356.0820817,2.630135684,3.199562465,4.976595142,60393,0,2923,6.45,167.536,,0.166,4.1483,0.491,0.715,0.234,,X,M,N,N,1.64321
    23 Thalia,2.625683428,0.234983917,,10.11425811,66.84681403,60.63681441,2.008690051,3.242676805,4.254727466,59343,0,2213,6.95,107.53,,0.2536,12.312,,0.859,0.442,,S,S,N,N,1.04633
    24 Themis,3.136171315,0.124742775,0.19,0.751587935,35.92589903,106.957169,2.744956601,3.527386028,5.554025502,60645,0,3662,7.08,198,,0.067,8.374,,0.684,0.336,,B,C,N,N,1.75813
    25 Phocaea,2.400160565,0.254613898,,21.60484031,214.1306087,90.26321459,1.789046327,3.011274804,3.718507367,58150,0,3132,7.83,61.054,,0.35,9.9341,,0.932,0.513,,S,S,N,N,0.923495
    26 Proserpina,2.654330893,0.090144874,,3.563412996,45.77798089,193.4497991,2.415056568,2.893605218,4.324548727,57907,0,2259,7.4,94.8,,0.1966,13.11,,0.891,0.525,,S,S,N,N,1.40287
    27 Euterpe,2.346664413,0.173225845,,1.583713718,94.78795695,356.4498658,1.940161487,2.753167339,3.594882363,60345,0,2669,7,96,,0.215,10.4082,,0.878,0.502,,S,S,N,N,0.956809
    28 Bellona,2.77576593,0.151862613,,9.429548932,144.2961697,344.1009091,2.354230863,3.197300998,4.624688265,59495,0,2738,7.09,120.9,,0.1763,15.706,,0.845,0.469,,S,S,N,N,1.37086
    29 Amphitrite,2.554113563,0.072695536,0.2,6.082523344,356.3417672,63.36324048,2.368440909,2.739786216,4.081957767,59923,0,2318,5.85,189.559,,0.216,5.3921,,0.838,0.449,,S,S,N,N,1.3871
    30 Urania,2.365572137,0.127581,,2.095743731,307.4686116,87.42620759,2.063770078,2.667374196,3.638417204,58087,0,3289,7.57,92.787,,0.192,13.686,,0.873,0.459,,Sl,S,N,N,1.0709
    31 Euphrosyne,3.155402311,0.220857011,,26.30334546,31.11858135,61.47037758,2.458509589,3.852295033,5.605189646,58007,0,2377,6.74,267.08,,0.053,5.53,,0.687,0.317,,Cb,C,N,N,1.56992
    32 Pomona,2.588507764,0.080901389,,5.523952791,220.4415627,339.5357809,2.379093891,2.797921637,4.164687411,56838,0,2133,7.56,80.76,,0.2564,9.448,,0.857,0.429,,S,S,N,N,1.37704
    33 Polyhymnia,2.87345553,0.331346295,0.33,1.852843675,8.466365462,338.3718433,1.921346687,3.825564373,4.870964033,59639,0,2832,8.55,52.929,,0.24,18.608,,0.848,0.438,,Sq,S,N,N,0.913808
    34 Circe,2.68738341,0.105948047,,5.496017155,184.3613092,330.6761387,2.402660386,2.972106434,4.405575516,56728,0,3115,8.51,132.992,,0.052,12.15,,0.707,0.357,,Ch,C,N,N,1.41435
    35 Leukothea,2.994071835,0.225588162,,7.932713103,353.7389409,213.3967316,2.318644673,3.669498998,5.180856057,58229,0,3165,8.5,103.055,,0.066,31.9,,0.703,0.335,,C,C,N,N,1.31998
    36 Atalante,2.74682401,0.304906016,,18.36926143,358.2100148,47.79654908,1.909300844,3.584347177,4.552547174,56069,0,1720,8.46,115.204,,0.036,9.93,,0.713,0.363,,,C,N,N,0.959267
    37 Fides,2.642283306,0.175605168,0.24,3.070811194,7.269127306,62.84345783,2.178284701,3.10628191,4.295139499,59849,0,2605,7.29,108.35,,0.1826,7.3335,,0.843,0.414,,S,S,N,N,1.19442
    38 Leda,2.739454926,0.154982525,,6.970974749,295.720019,169.3124261,2.314887286,3.164022567,4.534239344,59638,0,2460,8.32,92.255,,0.055,12.838,,0.726,0.419,,Cgh,C,N,N,1.33232
    39 Laetitia,2.769319014,0.111475577,,10.3689809,156.9530994,209.1324657,2.46060758,3.078030448,4.608585866,59605,0,5742,6,179.484,,0.269,5.138,,0.898,0.494,,S,S,N,N,1.46215
    40 Harmonia,2.267246519,0.04702133,,4.257400417,94.18886002,269.7316159,2.160637572,2.373855467,3.413943411,56470,0,5137,7,111.251,,0.22,8.91,,0.854,0.432,,S,S,N,N,1.16159
    41 Daphne,2.760438709,0.275417534,0.1,15.79210045,178.0867398,45.89572505,2.000165488,3.520711929,4.586436293,55919,0,2535,7.12,205.495,,0.059,5.988,,0.726,0.363,,Ch,C,N,N,1.02633
    42 Isis,2.441703519,0.222823152,,8.514622308,84.19733428,237.305438,1.897635444,2.985771594,3.815466071,59493,0,2754,7.53,110.997,,0.139,13.59,,0.874,0.462,,L,S,N,N,0.899544
    43 Ariadne,2.203475093,0.168321879,0.11,3.471397138,264.8102007,16.27152565,1.832582025,2.574368161,3.270923756,56486,0,2495,7.93,71.34,,0.234,5.76218,,0.863,0.49,,Sk,S,N,N,0.81586
    44 Nysa,2.423451099,0.14792291,0.46,3.706552417,131.5475633,343.3326645,2.06496716,2.781935037,3.772763601,56780,0,2665,7.03,70.64,,0.482,6.422,,0.703,0.245,,Xc,E,N,N,1.08194
    45 Eugenia,2.720882627,0.084438374,0.07,6.603526586,147.6084202,88.16801954,2.491135721,2.950629533,4.488207362,55867,0,3234,7.46,202.327,,0.045,5.699,,0.676,0.274,,C,FC,N,N,1.4906
    46 Hestia,2.525788446,0.172002218,0.06,2.349673628,181.0874776,177.4171769,2.091347232,2.960229659,4.014243017,56621,0,3338,8.36,112.414,,0.046,21.04,,0.692,0.226,,Xc,P,N,N,1.08671
    47 Aglaja,2.881429415,0.129807267,0.16,4.975207886,3.081372987,314.6872969,2.507398936,3.255459894,4.891253597,58251,0,2833,7.84,168.174,,0.082,13.178,,0.665,0.3,,B,C,N,N,1.49661
    48 Doris,3.110088095,0.072443887,,6.54741666,183.5539793,253.0539188,2.884781226,3.335394964,5.484881365,58146,0,2829,6.9,216.473,,0.065,11.89,,0.716,0.442,,Ch,CG,N,N,1.90839
    49 Pales,3.105045615,0.222067022,,3.195215221,285.0858159,112.2986827,2.415517381,3.794573849,5.471547568,56886,0,2682,7.8,166.252,,0.048,20.705,,0.749,0.411,,Ch,CG,N,N,1.42463
    50 Virginia,2.648793849,0.285985529,,2.838219801,173.5287309,200.0805719,1.89127714,3.406310558,4.311024004,59008,0,2896,9.24,84.074,,0.05,14.315,,0.703,0.347,,Ch,X,N,N,0.891422
    51 Nemausa,2.36583537,0.067559357,0.08,9.977178479,175.9784967,2.580537646,2.206001055,2.525669686,3.639024528,56958,0,5311,7.35,138.159,,0.105,7.783,,0.789,0.482,,Ch,CU,N,N,1.21015
    52 Europa,3.09309139,0.11036926,0.18,7.478751879,128.6061595,343.5585228,2.751709183,3.434473597,5.439980343,58012,0,3063,6.31,303.918,,0.057,5.6304,,0.679,0.338,,C,CF,N,N,1.76943
    53 Kalypso,2.616773602,0.205567554,,5.171236717,143.5538596,313.2761609,2.078849853,3.154697351,4.23308927,56110,0,2828,8.81,90.893,,0.031,9.036,,0.705,0.318,,,XC,N,N,1.09974
    54 Alexandra,2.710377899,0.197338954,,11.79829754,313.2523821,344.9589216,2.175514761,3.245241038,4.462240497,56810,0,2242,7.66,154.137,,0.041,7.024,,0.727,0.357,,C,C,N,N,1.16147
    55 Pandora,2.759834767,0.142968706,,7.180069492,10.38135663,5.370131629,2.365264762,3.154404772,4.584931211,56886,0,2838,7.7,84.794,,0.204,4.804,,0.704,0.242,,X,M,N,N,1.36566
    56 Melete,2.595744872,0.238082774,,8.080990773,192.9849355,105.0371245,1.977742733,3.213747012,4.182165445,56213,0,2608,8.31,121.333,,0.057,18.147,,0.697,0.312,,Xk,P,N,N,0.980357
    57 Mnemosyne,3.151209171,0.113466854,,15.21509019,199.2006564,210.7687811,2.793651382,3.508766961,5.594020453,58312,0,2607,7.03,112.59,,0.2149,12.463,,0.817,0.41,,S,S,N,N,1.81222
    58 Concordia,2.700075758,0.042782371,,5.06541028,161.1075355,30.80176723,2.584560115,2.815591401,4.436823236,56705,0,3121,8.86,106.517,,0.044,9.895,,0.69,0.37,,Ch,C,N,N,1.58633
    59 Elpis,2.711836158,0.119291449,,8.641685581,170.0264279,211.082394,2.388337294,3.035335022,4.465842196,57008,0,2355,7.93,165.119,,0.044,13.671,,0.662,0.285,,B,CP,N,N,1.39378
    60 Echo,2.392299537,0.184554345,0.27,3.600353945,191.5523592,271.2147491,1.950790263,2.833808812,3.700253999,57937,0,3036,8.21,43.218,,0.373,25.208,,0.854,0.452,,S,S,N,N,0.971724
    61 Danae,2.985558304,0.165958717,,18.19649465,333.6550237,12.42664142,2.490078879,3.481037729,5.158774417,56240,0,2067,7.68,85.937,,0.203,11.45,,0.852,0.402,,S,S,N,N,1.4837
    62 Erato,3.135443052,0.167731835,,2.233522156,125.1514784,276.3918498,2.609529435,3.661356668,5.55209103,41479,0,3041,8.76,106.921,,0.048,9.2213,,0.708,0.378,,Ch,BU,N,N,1.61861
    63 Ausonia,2.395430898,0.126905511,0.25,5.775580893,337.7332923,295.9440817,2.091437516,2.699424281,3.707521456,57880,0,2563,7.55,116.044,,0.125,9.298,,0.916,0.5,,Sa,S,N,N,1.08249
    64 Angelina,2.681124846,0.125529427,0.48,1.309694153,309.1174768,178.8060575,2.344564781,3.01768491,4.390194468,57770,0,2646,7.67,58.292,,0.483,8.752,,0.734,0.254,,Xe,E,N,N,1.36002
    65 Cybele,3.425952865,0.111942943,0.01,3.563530794,155.6163089,102.6307566,3.042441618,3.809464112,6.341328882,57769,0,3172,6.62,237.26,,0.0706,6.0814,,0.69,0.271,,Xc,P,N,N,2.02972
    66 Maja,2.646063567,0.172940539,,3.045598953,7.50373979,43.98524876,2.188451907,3.103675227,4.30436025,57704,0,2749,9.36,71.82,,0.0618,9.73509,,0.697,0.36,,Ch,C,N,N,1.1999
    67 Asia,2.421340541,0.18542693,,6.030227518,202.4413347,107.0212424,1.972358797,2.870322284,3.767836185,56780,0,2712,8.28,56.309,,0.228,15.853,,0.861,0.434,,S,S,N,N,0.967588
    68 Leto,2.783020126,0.18620295,0.05,7.968841693,44.13311374,304.4913179,2.264813568,3.301226684,4.642829367,56876,0,2472,6.78,122.509,,0.228,14.848,,0.845,0.488,,,S,N,N,1.26971
    69 Hesperia,2.976722487,0.170327335,0.19,8.591269314,184.9969793,289.1865931,2.469705279,3.483739695,5.135890132,57815,0,3130,7.05,138.13,,0.1402,5.655,,0.674,0.23,,X,M,N,N,1.50235
    70 Panopaea,2.615909299,0.180426174,0.14,11.59491855,47.69627906,255.389355,2.143930792,3.087887807,4.230992202,55850,0,3039,8.11,127.911,,0.038,15.8052,,0.74,0.39,,Ch,C,N,N,1.1631
    71 Niobe,2.756529553,0.173322118,0.4,23.26242197,316.0043202,266.9750611,2.278762013,3.234297092,4.576697218,56731,0,2419,7.3,83.42,,0.3052,35.864,,0.803,0.439,,Xe,S,N,N,1.40954
    72 Feronia,2.266080908,0.120487845,,5.416017988,207.963277,102.7844719,1.993045704,2.539116113,3.411311043,56302,0,2710,8.94,74.966,,0.083,8.097,,0.785,0.375,,,TDG,N,N,0.986631
    73 Klytia,2.664796618,0.042926954,,2.3700564,7.019122251,52.64337163,2.550405015,2.77918822,4.350150727,56565,0,2754,9,44.59,,0.223,8.297,,,,,,S,N,N,1.56277
    74 Galatea,2.78309383,0.236436907,,4.070961926,197.196859,174.3051994,2.125067733,3.441119927,4.643013805,56815,0,2906,8.66,118.71,,0.0431,17.268,,0.686,0.32,,C,C,N,N,1.12443
    75 Eurydike,2.674602632,0.303691881,0.23,4.991337846,359.3525319,339.2768406,1.862347527,3.486857737,4.374184564,56708,0,3126,8.96,62.377,,0.117,5.357,,0.71,0.266,,Xk,M,N,N,0.853735
    76 Freia,3.412680486,0.165828749,,2.121739648,204.303876,252.4037878,2.846759951,3.978601022,6.304514473,56747,0,3047,7.9,145.423,,0.058,9.973,,0.704,0.298,,X,P,N,N,1.86461
    77 Frigga,2.668110949,0.132298071,0.16,2.422958194,1.149364306,61.83027275,2.315125017,3.021096881,4.358268976,51164,0,2726,8.52,61.39,,0.177,9.012,,0.746,0.249,,Xe,MU,N,N,1.32908
    78 Diana,2.619441853,0.207365208,0.08,8.700972719,333.4009125,152.7725128,2.076260748,3.162622957,4.239565463,56942,0,2449,8.09,120.6,,0.0706,7.2991,,0.713,0.38,,Ch,C,N,N,1.0957
    79 Eurynome,2.446712334,0.189961407,0.25,4.613126822,206.5830756,201.1851897,1.981931415,2.911493252,3.827212436,56932,0,2626,7.96,63.479,,0.287,5.978,,0.874,0.421,,S,S,N,N,0.99198
    80 Sappho,2.295864535,0.200032484,,8.675456519,218.6962037,139.6536724,1.836617048,2.755112022,3.47878502,56098,0,2328,7.98,68.563,,0.206,14.03,,0.901,0.523,,S,S,N,N,0.842872
    81 Terpsichore,2.853597192,0.210697402,,7.802982638,0.95964501,51.67737782,2.252351676,3.454842707,4.820556813,56522,0,3034,8.48,117.727,,0.045,10.943,,0.701,0.346,,Cb,C,N,N,1.27209
    82 Alkmene,2.762901332,0.220085733,0.28,2.82641181,25.44858368,111.2202279,2.154826166,3.370976497,4.59257509,56507,0,2715,8.4,57.621,,0.167,12.999,,0.814,0.38,,Sq,S,N,N,1.17092
    83 Beatrix,2.432320402,0.081521396,,4.963962317,27.73796132,168.502485,2.234034248,2.630606555,3.793493778,56348,0,2299,8.66,110.503,,0.05,10.16,,0.704,0.266,,X,X,N,N,1.23261
    84 Klio,2.36248979,0.235843694,,9.31534739,327.5144105,15.1547952,1.805311471,2.91966811,3.631308221,56142,0,2400,9.32,79.16,,0.0527,23.562,,0.733,0.445,,Ch,G,N,N,0.797648
    85 Io,2.651765384,0.194545765,,11.96206292,203.1135422,123.0324743,2.135875659,3.16765511,4.318280487,56114,0,2619,7.61,154.79,,0.0666,6.875,,0.668,0.294,,B,FC,N,N,1.1514
    86 Semele,3.106672828,0.21486705,,4.820708575,86.0974744,308.9293322,2.439151204,3.774194452,5.475849214,53927,0,2728,8.54,109.929,,0.056,16.634,,0.703,0.321,,,C,N,N,1.44908
    87 Sylvia,3.482566201,0.093063247,,10.87710567,73.04534446,263.5579669,3.158467283,3.806665118,6.499160667,45460,0,3405,6.94,253.051,,0.046,5.184,,0.71,0.251,,X,P,N,N,2.17369
    88 Thisbe,2.769174121,0.16164291,0.14,5.21393152,276.4610477,36.23247245,2.321556759,3.216791484,4.608224184,55942,0,3145,7.04,232,,0.0671,6.042,,0.681,0.305,,B,CF,N,N,1.30894
    89 Julia,2.550012155,0.184748053,0.15,16.1296026,311.549385,45.38137415,2.078902375,3.021121935,4.072129475,55791,0,2272,6.6,145.483,,0.189,11.387,,0.859,0.442,,K,S,N,N,1.10012
    90 Antiope,3.149874886,0.16607652,,2.206907591,69.97002222,244.8751967,2.626754625,3.672995147,5.590467898,55740,0,3876,8.27,115.974,,0.058,16.509,,0.688,0.317,,C,C,N,N,1.61312
    91 Aegina,2.592223971,0.105678114,,2.103166381,10.58637932,73.45950267,2.318282632,2.866165311,4.173659219,55800,0,2602,8.84,103.402,,0.048,6.025,,0.724,0.317,,Ch,CP,N,N,1.33535
    92 Undina,3.185736393,0.104533313,,9.932002849,101.5788858,239.1327349,2.852720814,3.518751973,5.686210822,54118,0,2216,6.61,126.42,,0.2509,15.941,,0.725,0.275,,Xc,X,N,N,1.85836
    93 Minerva,2.756118499,0.139081848,,8.556920247,4.0497956,274.8112195,2.372792444,3.139444554,4.57567354,54591,0,2296,7.9,154.155,,0.056,5.982,,0.685,0.315,,C,CU,N,N,1.3753
    94 Aurora,3.156538543,0.093944768,,7.970755524,2.574732729,60.4684185,2.859998263,3.453078823,5.608217487,53713,0,3643,7.57,204.89,,0.0395,7.22,,0.663,0.301,,C,CP,N,N,1.88276
    95 Arethusa,3.065326792,0.152587237,,12.99536706,243.0265829,153.9282846,2.597597046,3.533056538,5.366898402,53556,0,2367,8,147.969,,0.058,8.705,,0.711,0.374,,Ch,C,N,N,1.61219
    96 Aegle,3.050889461,0.140596567,,15.97316728,321.497057,208.7460968,2.621944876,3.479834046,5.329026885,55335,0,2257,7.67,177.774,,0.048,13.868,,0.775,0.337,,T,T,N,N,1.64137
    97 Klotho,2.668490429,0.257137249,,11.77760291,159.6242869,268.7045514,1.98232214,3.354658717,4.359198811,54449,0,2754,7.63,100.717,,0.128,35.15,,0.716,0.226,,,M,N,N,1.03657
    98 Ianthe,2.687760366,0.186754373,,15.57151841,353.9207068,158.725461,2.185809364,3.189711367,4.406502495,54363,0,2217,8.84,132.788,,0.029,16.479,,0.749,0.375,,Ch,CG,N,N,1.20184
    99 Dike,2.665704208,0.195003231,,13.84727294,41.52310421,195.6087757,2.145883275,3.18552514,4.352373311,38098,0,2358,9.43,67.354,,0.065,18.127,,0.703,0.322,,Xk,C,N,N,1.13799
   100 Hekate,3.087283252,0.169204158,,6.431726468,127.1913929,184.5787772,2.56490209,3.609664415,5.424664928,54173,0,2614,7.67,85.734,,0.205,27.066,,0.838,0.363,,S,S,N,N,1.54987
   101 Helena,2.583800893,0.140233085,0.35,10.1944726,343.3897137,348.3528839,2.221466522,2.946135264,4.153333148,54095,0,1839,8.33,65.84,,0.1898,23.08,,0.854,0.426,,S,S,N,N,1.21145
   102 Miriam,2.662343774,0.252032537,,5.176794936,210.8577664,147.0569018,1.991346517,3.33334103,4.344145886,54622,0,2717,9.26,82.595,,0.051,23.613,,0.726,0.371,,C,P,N,N,0.989341
   103 Hera,2.701656653,0.079198729,,5.418388037,136.083601,188.4790101,2.487688881,2.915624426,4.440720449,54091,0,2313,7.66,83.908,,0.217,23.74,,0.853,0.441,,S,S,N,N,1.47464
   104 Klymene,3.145016321,0.160572204,,2.790040532,41.67434694,31.83567246,2.640014118,3.650018524,5.577538254,48908,0,2635,8.27,136.553,,0.052,8.984,,0.688,0.34,,Ch,C,N,N,1.6552
   105 Artemis,2.373917361,0.177378504,0.1,21.44015559,188.2573466,57.03037251,1.952835452,2.79499927,3.65768749,42059,0,2377,8.57,112.326,,0.016,37.15506,,0.693,0.317,,Ch,C,N,N,1.01144
   106 Dione,3.186263512,0.162166137,,4.592184153,62.15755584,330.1541992,2.669559468,3.702967556,5.68762216,54213,0,2512,7.41,207.869,,0.044,16.21,,0.743,0.464,,Cgh,G,N,N,1.67634
   107 Camilla,3.491538544,0.065376898,0.08,9.999895107,172.5968079,306.5943524,3.263272586,3.719804503,6.524293102,54913,0,3047,7.08,254,,0.059,4.844,0.7475,0.705,0.298,,X,C,N,N,2.29158
   108 Hecuba,3.236576264,0.055475088,,4.220482269,349.9860672,205.5650273,3.057026912,3.416125615,5.822868327,50873,0,2652,8.09,75.498,,0.148,14.256,,0.855,0.502,,Sl,S,N,N,2.05678
   109 Felicitas,2.696073711,0.298888898,0.04,7.842543567,2.800725171,57.45136516,1.890247211,3.501900211,4.426962517,54735,0,2130,8.75,82.588,,0.056,13.191,,0.696,0.408,,Ch,GC,N,N,0.915348
   110 Lydia,2.731441254,0.081451571,0.2,5.964953509,56.86559515,283.1161076,2.508961073,2.953921436,4.514358023,54376,0,2456,7.8,86.09,,0.1808,10.927,,0.705,0.298,,X,M,N,N,1.50807
   111 Ate,2.593214392,0.102706873,,4.931572607,305.7385348,166.3973952,2.32687345,2.859555335,4.176051416,54422,0,2633,8.02,126.344,,0.062,22.072,,0.69,0.389,,Ch,C,N,N,1.34401
   112 Iphigenia,2.433981119,0.127700984,,2.599053276,323.4144081,17.30026913,2.123159335,2.744802903,3.797379571,54221,0,2978,9.84,69.818,,0.042,31.466,,0.696,0.284,,Ch,DCX,N,N,1.11377
   113 Amalthea,2.375661941,0.086922815,0.35,5.042972118,123.4516239,78.70826107,2.169162717,2.582161166,3.661720257,54214,0,2750,8.74,50.137,,0.224,9.95,,0.925,0.521,,S,S,N,N,1.17311
   114 Kassandra,2.678568837,0.135361301,,4.935770918,164.2032977,352.5416515,2.315994275,3.041143398,4.383917978,42721,0,2366,8.26,94.178,,0.089,10.7431,,0.768,0.269,,Xk,T,N,N,1.32601
   115 Thyra,2.379582469,0.193102626,0.12,11.59296381,308.79566,97.14189804,1.920078845,2.839086093,3.670788338,53383,0,2084,7.51,79.83,,0.2747,7.241,,0.851,0.431,,S,S,N,N,0.969638
   116 Sirona,2.766288649,0.14206016,,3.5643983,63.71031054,94.53183559,2.373309239,3.159268058,4.601023423,53563,0,2567,7.82,71.7,,0.256,12.028,,0.873,0.429,,Sk,S,N,N,1.38617
   117 Lomia,2.990315511,0.027627708,,14.90248311,348.7754849,51.19681674,2.907699949,3.072931074,5.171109363,46233,0,2387,7.95,208.974,,0.027,9.127,,0.687,0.306,,X,XC,N,N,1.92333
   118 Peitho,2.43675488,0.164561865,,7.745998415,47.68280998,33.4010243,2.035757953,2.837751808,3.803872653,53839,0,2540,9.14,40.211,,0.245,7.8055,,0.859,0.433,,S,S,N,N,1.05591
   119 Althaea,2.581258245,0.08045542,,5.786176717,203.654022,171.3465661,2.373582028,2.788934462,4.147203885,53819,0,2682,8.42,57.3,,0.2306,11.484,,0.874,0.342,,Sl,S,N,N,1.37392
   120 Lachesis,3.119512825,0.052227612,,6.96164506,341.1739908,233.6346942,2.956588119,3.282437532,5.509832108,53686,0,2216,7.75,155.132,,0.058,46.551,,0.707,0.383,,C,C,N,N,1.95778
   121 Hermione,3.451838969,0.131877319,,7.597630696,73.12248427,297.9514819,2.996619698,3.907058239,6.413335995,53761,0,3553,7.31,209,,0.0482,5.55128,,0.739,0.425,,Ch,C,N,N,2.00636
   122 Gerda,3.224719234,0.031700159,,1.640270992,178.12936,321.7146919,3.122495121,3.326943346,5.790899984,53609,0,2781,7.87,70.676,,0.297,10.685,,0.776,0.41,,L,ST,N,N,2.13584
   123 Brunhild,2.694897611,0.120489801,,6.41386411,307.7305945,125.776462,2.370189935,3.019605287,4.424066092,53708,0,2574,8.9,45.209,,0.261,9.873,,0.85,0.395,,S,S,N,N,1.39196
   124 Alkeste,2.630776466,0.075492879,0.19,2.957083611,187.9836207,61.88221199,2.432171577,2.829381355,4.26711281,53578,0,3007,8.11,88.648,,0.128,9.906,,0.844,0.424,,S,S,N,N,1.41966
   125 Liberatrix,2.744361969,0.07777621,0.33,4.663375923,168.9922715,109.7857693,2.530915895,2.957808043,4.546427718,53527,0,3929,9.04,48.418,,0.182,3.968,,0.705,0.239,,X,M,N,N,1.51881
   126 Velleda,2.438405201,0.106516111,,2.924683944,23.30920056,328.1914588,2.178675763,2.698134639,3.807737633,53591,0,2825,9.27,44.82,,0.1723,5.3672,,0.865,0.496,,,S,N,N,1.17273
   127 Johanna,2.755449786,0.066893199,,8.244857696,31.15550354,93.7235843,2.571128935,2.939770638,4.574008359,37212,0,2282,8.6,122,,0.042,12.7988,,,,,Ch,CX,N,N,1.60307
   128 Nemesis,2.749885199,0.127406598,,6.245447183,76.24209972,303.742818,2.399531682,3.100238716,4.560159651,53492,0,2364,7.49,162.515,,0.067,77.81,,0.685,0.392,,C,C,N,N,1.40859
